RegionName,Time,Rent,Sales
"Detroit, MI",2014-06,700,46700
"Detroit, MI",2014-07,700,45900
"Detroit, MI",2014-08,707.5,46800
"Detroit, MI",2014-09,700,47800
"Detroit, MI",2014-10,700,47900
"Detroit, MI",2014-11,700,47900
"Detroit, MI",2014-12,725,47600
"Detroit, MI",2015-01,718,47600
"Detroit, MI",2015-02,700,47600
"Detroit, MI",2015-03,710,48100
"Detroit, MI",2015-04,727,48200
"Detroit, MI",2015-05,725,48700
"Detroit, MI",2015-06,725,49300
"Detroit, MI",2015-07,695,49500
"Detroit, MI",2015-08,705,50000
"Detroit, MI",2015-09,695,51600
"Riverside, CA",2010-07,1025,93600
"Riverside, CA",2010-08,1000,95400
"Riverside, CA",2010-09,935,96900
"Riverside, CA",2010-10,910,97000
"Riverside, CA",2010-11,910,96800
"Riverside, CA",2010-12,906.5,96500
"Riverside, CA",2011-01,895,95600
"Riverside, CA",2011-02,895,94500
"Riverside, CA",2011-03,850,93900
"Riverside, CA",2011-04,865,93100
"Riverside, CA",2011-05,895,92600
"Riverside, CA",2011-06,850,91900
"Riverside, CA",2011-07,815,90900
"Riverside, CA",2011-08,800,89400
"Riverside, CA",2011-09,800,88700
"Riverside, CA",2011-10,825,88900
"Riverside, CA",2011-11,825,89900
"Riverside, CA",2011-12,850,90500
"Riverside, CA",2012-01,890,89900
"Riverside, CA",2012-02,920,88800
"Riverside, CA",2012-03,959,88600
"Riverside, CA",2012-04,895,88700
"Riverside, CA",2012-05,855,88800
"Riverside, CA",2012-06,889,89600
"Riverside, CA",2012-07,850,90900
"Riverside, CA",2012-08,882.5,91900
"Riverside, CA",2012-09,882.5,93300
"Riverside, CA",2012-10,935,95400
"Riverside, CA",2012-11,982.5,97100
"Riverside, CA",2012-12,950,98100
"Riverside, CA",2013-01,935,98700
"Riverside, CA",2013-02,950,100000
"Riverside, CA",2013-03,950,102000
"Riverside, CA",2013-04,925,106300
"Riverside, CA",2013-05,895,112200
"Riverside, CA",2013-06,848,117300
"Riverside, CA",2013-07,850,120200
"Riverside, CA",2013-08,827,122500
"Riverside, CA",2013-09,795,125100
"Riverside, CA",2013-10,800,129100
"Riverside, CA",2013-11,795,132300
"Riverside, CA",2013-12,795,134600
"Riverside, CA",2014-01,795,137300
"Riverside, CA",2014-02,750,140100
"Riverside, CA",2014-03,750,142200
"Riverside, CA",2014-04,795,144100
"Riverside, CA",2014-05,817.5,146600
"Riverside, CA",2014-06,800,148800
"Riverside, CA",2014-07,849,150200
"Riverside, CA",2014-08,850,152300
"Riverside, CA",2014-09,850,154600
"Riverside, CA",2014-10,850,154700
"Riverside, CA",2014-11,850,155300
"Riverside, CA",2014-12,875,158400
"Riverside, CA",2015-01,860,161600
"Riverside, CA",2015-02,895,162500
"Riverside, CA",2015-03,899.5,162100
"Riverside, CA",2015-04,950,161300
"Riverside, CA",2015-05,906.5,161500
"Riverside, CA",2015-06,985,161800
"Riverside, CA",2015-07,998,160600
"Riverside, CA",2015-08,972.5,159100
"Riverside, CA",2015-09,950,159000
"Seattle, WA",2010-07,1025,245800
"Seattle, WA",2010-08,1000,242900
"Seattle, WA",2010-09,995,240500
"Seattle, WA",2010-10,1005,238600
"Seattle, WA",2010-11,995,237000
"Seattle, WA",2010-12,905,235600
"Seattle, WA",2011-01,895,234000
"Seattle, WA",2011-02,900,231500
"Seattle, WA",2011-03,899,228000
"Seattle, WA",2011-04,900,224800
"Seattle, WA",2011-05,920,222500
"Seattle, WA",2011-06,950,220600
"Seattle, WA",2011-07,925,218600
"Seattle, WA",2011-08,974,217100
"Seattle, WA",2011-09,975,216100
"Seattle, WA",2011-10,975,215500
"Seattle, WA",2011-11,983,215000
"Seattle, WA",2011-12,955,214700
"Seattle, WA",2012-01,975,214500
"Seattle, WA",2012-02,975,215000
"Seattle, WA",2012-03,995,215700
"Seattle, WA",2012-04,995,216800
"Seattle, WA",2012-05,975,218600
"Seattle, WA",2012-06,970,220800
"Seattle, WA",2012-07,973,222500
"Seattle, WA",2012-08,1050,223900
"Seattle, WA",2012-09,1054,225200
"Seattle, WA",2012-10,1095,227200
"Seattle, WA",2012-11,1095,229500
"Seattle, WA",2012-12,1108,231600
"Seattle, WA",2013-01,1050,233800
"Seattle, WA",2013-02,1125,237300
"Seattle, WA",2013-03,1163,241600
"Seattle, WA",2013-04,1170,245700
"Seattle, WA",2013-05,1190,249600
"Seattle, WA",2013-06,1180,254200
"Seattle, WA",2013-07,1195,258600
"Seattle, WA",2013-08,1200,261800
"Seattle, WA",2013-09,1305,264400
"Seattle, WA",2013-10,1315,267300
"Seattle, WA",2013-11,1295,269800
"Seattle, WA",2013-12,1341,272400
"Seattle, WA",2014-01,1315,275000
"Seattle, WA",2014-02,1295,276700
"Seattle, WA",2014-03,1295,277900
"Seattle, WA",2014-04,1350,279900
"Seattle, WA",2014-05,1435,282200
"Seattle, WA",2014-06,1475,283900
"Seattle, WA",2014-07,1482,284900
"Seattle, WA",2014-08,1450,285500
"Seattle, WA",2014-09,1485,286000
"Seattle, WA",2014-10,1435.5,287600
"Seattle, WA",2014-11,1484.5,290400
"Seattle, WA",2014-12,1460.5,292300
"Seattle, WA",2015-01,1475,293300
"Seattle, WA",2015-02,1530,294400
"Seattle, WA",2015-03,1519,298500
"Seattle, WA",2015-04,1514,304100
"Seattle, WA",2015-05,1515,307900
"Seattle, WA",2015-06,1526,309500
"Seattle, WA",2015-07,1553,313000
"Seattle, WA",2015-08,1578.5,317600
"Seattle, WA",2015-09,1582,322800
"San Diego, CA",2010-10,1181.5,190000
"San Diego, CA",2010-11,1232,188800
"San Diego, CA",2010-12,1276.5,187000
"San Diego, CA",2011-01,1200,185700
"San Diego, CA",2011-02,1192.5,184900
"San Diego, CA",2011-03,1125,183100
"San Diego, CA",2011-04,1125,179800
"San Diego, CA",2011-05,1147.5,176900
"San Diego, CA",2011-06,1195,174200
"San Diego, CA",2011-07,1200,171600
"San Diego, CA",2011-08,1250,169800
"San Diego, CA",2011-09,1300,169100
"San Diego, CA",2011-10,1250,168100
"San Diego, CA",2011-11,1200,167200
"San Diego, CA",2011-12,1220,167800
"San Diego, CA",2012-01,1250,168400
"San Diego, CA",2012-02,1250,168100
"San Diego, CA",2012-03,1295,168000
"San Diego, CA",2012-04,1248,168000
"San Diego, CA",2012-05,1242,168000
"San Diego, CA",2012-06,1250,168400
"San Diego, CA",2012-07,1248,169000
"San Diego, CA",2012-08,1250,169900
"San Diego, CA",2012-09,1295,171900
"San Diego, CA",2012-10,1288,174200
"San Diego, CA",2012-11,1300,176000
"San Diego, CA",2012-12,1295,177800
"San Diego, CA",2013-01,1225,180400
"San Diego, CA",2013-02,1245,183900
"San Diego, CA",2013-03,1245,188300
"San Diego, CA",2013-04,1244,193800
"San Diego, CA",2013-05,1225,199500
"San Diego, CA",2013-06,1199.5,205800
"San Diego, CA",2013-07,1100,213000
"San Diego, CA",2013-08,1175,219100
"San Diego, CA",2013-09,1295,223300
"San Diego, CA",2013-10,1250,227500
"San Diego, CA",2013-11,1175,232300
"San Diego, CA",2013-12,1300,236100
"San Diego, CA",2014-01,1350,237800
"San Diego, CA",2014-02,1300,238400
"San Diego, CA",2014-03,1295,239900
"San Diego, CA",2014-04,1350,242800
"San Diego, CA",2014-05,1499,245300
"San Diego, CA",2014-06,1495,246400
"San Diego, CA",2014-07,1465,246500
"San Diego, CA",2014-08,1495,246300
"San Diego, CA",2014-09,1500,246500
"San Diego, CA",2014-10,1500,247400
"San Diego, CA",2014-11,1550,248300
"San Diego, CA",2014-12,1500,248600
"San Diego, CA",2015-01,1585,249100
"San Diego, CA",2015-02,1607,251000
"San Diego, CA",2015-03,1550,252700
"San Diego, CA",2015-04,1595,253100
"San Diego, CA",2015-05,1595,253100
"San Diego, CA",2015-06,1600,253400
"San Diego, CA",2015-07,1624,253800
"San Diego, CA",2015-08,1660,255000
"San Diego, CA",2015-09,1695,256800
"Tampa, FL",2010-03,697.5,63200
"Tampa, FL",2010-04,700,60700
"Tampa, FL",2010-05,712.5,59100
"Tampa, FL",2010-06,700,58100
"Tampa, FL",2010-07,675,57400
"Tampa, FL",2010-08,695,56700
"Tampa, FL",2010-09,700,56300
"Tampa, FL",2010-10,735,55600
"Tampa, FL",2010-11,745,54900
"Tampa, FL",2010-12,700,54300
"Tampa, FL",2011-01,705,53900
"Tampa, FL",2011-02,725,53700
"Tampa, FL",2011-03,725,53800
"Tampa, FL",2011-04,725,54200
"Tampa, FL",2011-05,725,53900
"Tampa, FL",2011-06,700,52600
"Tampa, FL",2011-07,725,51100
"Tampa, FL",2011-08,725,50000
"Tampa, FL",2011-09,725,49300
"Tampa, FL",2011-10,725,49400
"Tampa, FL",2011-11,735,50000
