,foodkey,business_id,category,description,name,photo_num,photo_url,prices,restaurant,review_num,review_url,src
213,2964,-6ncX3fnQ9OLCjfiUe-kFg,Noodle Or Fried Rice,"choice, roast pork, beef, veggies or shrimp",Fried Rice,2,/menu/ollies-new-york/item/fried-rice,7.95,Ollie's,16,/menu/ollies-new-york/item/fried-rice#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/7O3k-TSCNlXr2ZlqQaa9qw/180s.jpg
214,2986,Lr_x2ey_DQs_8ACS-1t7rA,Entrees,"A quarter chicken (leg & thigh) broiled in a tangy mango-curry sauce, with juicy chunks of fresh mango",Mango Chicken,3,/menu/billies-black-gourmet-soul-new-york/item/mango-chicken,18.95,Billie's Black,5,/menu/billies-black-gourmet-soul-new-york/item/mango-chicken#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/c0Ic6MjllrC0iFemP6cAeg/180s.jpg
215,2987,Lr_x2ey_DQs_8ACS-1t7rA,Entrees,Choice atlantic salmon slowly basted in our sweet-yet-tangy bbq sauce,Bbq Salmon,1,/menu/billies-black-gourmet-soul-new-york/item/bbq-salmon,21.95,Billie's Black,1,/menu/billies-black-gourmet-soul-new-york/item/bbq-salmon#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/cbAqRL0KlRGwSDrVD9yBfw/180s.jpg
216,2995,Lr_x2ey_DQs_8ACS-1t7rA,Sides,,Collard Greens,1,/menu/billies-black-gourmet-soul-new-york/item/collard-greens,5.00,Billie's Black,11,/menu/billies-black-gourmet-soul-new-york/item/collard-greens#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/Z0fT42gx9Z89AaMNwOeg6w/180s.jpg
217,3002,Lr_x2ey_DQs_8ACS-1t7rA,Sides,,Sweet Potato Fries or French Fries,1,/menu/billies-black-gourmet-soul-new-york/item/sweet-potato-fries-or-french-fries,5.00,Billie's Black,4,/menu/billies-black-gourmet-soul-new-york/item/sweet-potato-fries-or-french-fries#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/uYTbcxrgCmwxvRpnIG5i-Q/180s.jpg
218,3003,Lr_x2ey_DQs_8ACS-1t7rA,Sides,,Sauteed Spinach,2,/menu/billies-black-gourmet-soul-new-york/item/sauteed-spinach,5.00,Billie's Black,3,/menu/billies-black-gourmet-soul-new-york/item/sauteed-spinach#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/c0Ic6MjllrC0iFemP6cAeg/180s.jpg
219,3005,Lr_x2ey_DQs_8ACS-1t7rA,Sides,"Why does the mac & cheese get its own section of the menu? When you're a heavy-hitter like this one, it's out of respect. The dish helped put billie's on the map. People literally come from all over the country to try a plateful of billie's best",You Wrong for ThatMac & Cheese,1,/menu/billies-black-gourmet-soul-new-york/item/you-wrong-for-thatmac-and-cheese,8.00,Billie's Black,3,/menu/billies-black-gourmet-soul-new-york/item/you-wrong-for-thatmac-and-cheese#menu-reviews,http://s3-media1.fl.yelpassets.com/bphoto/c0Ic6MjllrC0iFemP6cAeg/180s.jpg
220,3007,Lr_x2ey_DQs_8ACS-1t7rA,Desserts,Juicy georgia peaches topped with a hand-made crust,Peach Cobbler,1,/menu/billies-black-gourmet-soul-new-york/item/peach-cobbler,7.00,Billie's Black,4,/menu/billies-black-gourmet-soul-new-york/item/peach-cobbler#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/WoO9e5kEAp-SSZLi0QrHZQ/180s.jpg
221,3008,Lr_x2ey_DQs_8ACS-1t7rA,Desserts,A perfect marriage of sweet and tart thrown together in a graham cracker crust,Key Lime Pie,1,/menu/billies-black-gourmet-soul-new-york/item/key-lime-pie,7.00,Billie's Black,1,/menu/billies-black-gourmet-soul-new-york/item/key-lime-pie#menu-reviews,http://s3-media2.fl.yelpassets.com/bphoto/xk1s51LhqmiJZ2lrcD-xRw/180s.jpg
223,3028,Lr_x2ey_DQs_8ACS-1t7rA,Brunch,,Home Fries,1,/menu/billies-black-gourmet-soul-new-york/item/home-fries,5.00,Billie's Black,1,/menu/billies-black-gourmet-soul-new-york/item/home-fries#menu-reviews,http://s3-media3.fl.yelpassets.com/bphoto/EcZZPRA3tr41_YuvhjgThA/180s.jpg
